ADDRESS_ID,HOUSE_NUM,HOUSE_FRAC,ST_PRE_DIR,ST_NAME,ST_TYPE,APT_LOT,POST DIR,CITY,STATE,ZIP
1000,100,,,LYTTON,AVE,Unit 100,NW,WASHINGTON,DC,20009
1001,100,,,LYTTON,AVE,Unit 101,NW,WASHINGTON,DC,20009
1002,100,,,LYTTON,AVE,Unit 102,NW,WASHINGTON,DC,20009
1003,100,,,LYTTON,AVE,Unit 103,NW,WASHINGTON,DC,20009
1004,100,,,LYTTON,AVE,Unit 104,NW,WASHINGTON,DC,20009
1005,100,,,LYTTON,AVE,Unit 105,NW,WASHINGTON,DC,20009
1006,100,,,LYTTON,AVE,Unit 106,NW,WASHINGTON,DC,20009
1007,100,,,LYTTON,AVE,Unit 107,NW,WASHINGTON,DC,20009
1008,100,,,LYTTON,AVE,Unit 108,NW,WASHINGTON,DC,20009
1009,100,,,LYTTON,AVE,Unit 109,NW,WASHINGTON,DC,20009
1010,100,,,LYTTON,AVE,Unit 110,NW,WASHINGTON,DC,20009
1011,100,,,LYTTON,AVE,Unit 111,NW,WASHINGTON,DC,20009
1012,100,,,LYTTON,AVE,Unit 112,NW,WASHINGTON,DC,20009
1013,100,,,LYTTON,AVE,Unit 113,NW,WASHINGTON,DC,20009
1014,100,,,LYTTON,AVE,Unit 114,NW,WASHINGTON,DC,20009
1015,100,,,LYTTON,AVE,Unit 115,NW,WASHINGTON,DC,20009
1016,100,,,LYTTON,AVE,Unit 116,NW,WASHINGTON,DC,20009
1017,100,,,LYTTON,AVE,Unit 117,NW,WASHINGTON,DC,20009
1018,100,,,LYTTON,AVE,Unit 118,NW,WASHINGTON,DC,20009
1019,100,,,LYTTON,AVE,Unit 119,NW,WASHINGTON,DC,20009
1020,100,,,LYTTON,AVE,Unit 120,NW,WASHINGTON,DC,20009
1021,100,,,LYTTON,AVE,Unit 121,NW,WASHINGTON,DC,20009
1022,100,,,LYTTON,AVE,Unit 122,NW,WASHINGTON,DC,20009
1023,100,,,LYTTON,AVE,Unit 123,NW,WASHINGTON,DC,20009
1024,100,,,LYTTON,AVE,Unit 124,NW,WASHINGTON,DC,20009
1025,100,,,LYTTON,AVE,Unit 125,NW,WASHINGTON,DC,20009
1026,100,,,LYTTON,AVE,Unit 126,NW,WASHINGTON,DC,20009
1027,100,,,LYTTON,AVE,Unit 127,NW,WASHINGTON,DC,20009
1028,100,,,LYTTON,AVE,Unit 128,NW,WASHINGTON,DC,20009
1029,100,,,LYTTON,AVE,Unit 129,NW,WASHINGTON,DC,20009
1030,100,,,LYTTON,AVE,Unit 130,NW,WASHINGTON,DC,20009
1031,100,,,LYTTON,AVE,Unit 131,NW,WASHINGTON,DC,20009
1032,100,,,LYTTON,AVE,Unit 132,NW,WASHINGTON,DC,20009
